Gurgaon	34.42	10.23	22.73
Mumbai	31.76	22.15	27.12
Noida	31.71	6.88	19.71
Delhi	31.48	9.23	20.73
Pune	29.57	7.77	19.03
Bangalore	29.2	9.36	19.61
Chandigarh	28.46	6.16	17.68
Thane	28.26	9.67	19.28
Jaipur	27.87	5.43	17.03
Goa	27.72	7.44	17.93
Kolkata	27.54	6.74	17.49
Ahmedabad	27.31	5.87	16.95
Chennai	27.2	6.94	17.42
Indore	27.05	4.62	16.22
Surat	26.93	4.49	16.08
Lucknow  26.55	4.7	15.99
Nagpur	26.37	4.89	15.99
Patna	26.03	4.34	15.55
Hyderabad	25.86	6.35	16.43
Bhopal	25.32	3.98	15.01
Vadodara	25.05	3.97	14.87
Mangalore	24.83	5.5	15.49
Coimbatore	24.73	5.68	15.53
Guwahati	24.57	4.12	14.69
Bhubaneswar	24.57	4.33	14.79
Visakhapatnam	24.04	4.6	14.65
Kochi	23.96	6.07	15.32
Mysore	23.33	4.18	14.08
NaviMumbai	22.22	5.64	14.21
Thiruvananthapuram	20.41	5.23	13.08
